,"en-US","de-DE","es-ES","fr-FR","it-IT","ja-JP","ko-KR","pl-PL","pt-BR","ru-RU","zh-HANS","zh-HANT"
"InfomodeTooltipEfficiencyPolice","Efficiency of police stations and prisons.","Effizienz von Polizeistationen und Gefängnissen.","Eficiencia de las comisarías y prisiones.","Efficacité des commissariats de police et des prisons.","Efficienza delle stazioni di polizia e delle prigioni.","警察署と刑務所の効率。","경찰서와 교도소의 효율성.","Efektywność posterunków policji i więzień.","Eficiência de delegacias de polícia e prisões.","Эффективность полицейских участков и тюрем.","警察局和监狱的效率。","警察局和監獄的效率。"
"InfomodeTooltipEfficiencyAdministration","Efficiency of administration buildings.","Effizienz von Verwaltungsgebäuden.","Eficiencia de los edificios administrativos.","Efficacité des bâtiments administratifs.","Efficienza degli edifici amministrativi.","管理棟の効率。","행정 건물의 효율성.","Efektywność budynków administracyjnych.","Eficiência de prédios administrativos.","Эффективность административных зданий.","行政大楼的效率。","行政大樓的效率。"
"InfomodeTooltipEfficiencyTransportation","Efficiency of transport depots and transport stations.","Effizienz von Transportdepots und Transportstationen.","Eficiencia de las cocheras y estaciones de transporte.","Efficacité des dépôts et des gares de transport.","Efficienza dei depositi e delle stazioni di trasporto.","輸送基地と輸送ステーションの効率。","운송 창고와 운송 스테이션의 효율성.","Efektywność baz transportowych i stacji transportowych.","Eficiência de depósitos de transporte e estações de transporte.","Эффективность транспортных депо и транспортных станций.","运输站和运输站的效率。","運輸站和運輸站的效率。"
"InfomodeTooltipEfficiencyParkMaintenance","Efficiency of park maintenance depots.","Effizienz von Parkpflegedepots.","Eficiencia de los depósitos de mantenimiento de parques.","Efficacité des dépôts d'entretien des parcs.","Efficienza dei depositi di manutenzione dei parchi.","公園管理所の効率。","공원 유지 관리 창고의 효율성.","Efektywność składów utrzymania parków.","Eficiência de depósitos de manutenção de parques.","Эффективность парковых депо.","公园维修站的效率。","公園維護站的效率。"
"InfomodeTooltipEfficiencyParksRecreation","Efficiency of parks and recreation buildings.","Effizienz von Parks und Erholungsgebäuden.","Eficiencia de los parques y edificios de recreación.","Efficacité des parcs et des bâtiments de loisirs.","Efficienza dei parchi e degli edifici ricreativi.","公園およびレクリエーション施設の効率。","공원 및 레크리에이션 건물의 효율성.","Efektywność parków i budynków rekreacyjnych.","Eficiência de parques e prédios de recreação.","Эффективность парков и рекреационных зданий.","公园和娱乐建筑的效率。","公園和娛樂建築的效率。"
"InfomodeTooltipEfficiencyPost","Efficiency of post buildings.","Effizienz von Postgebäuden.","Eficiencia de los edificios de correos.","Efficacité des bâtiments de poste.","Efficienza degli edifici postali.","郵便局の効率。","우편 건물의 효율성.","Efektywność budynków pocztowych.","Eficiência dos edifícios postais.","Эффективность почтовых зданий.","邮局建筑的效率。","郵政大樓的效率。"
"InfomodeTooltipEfficiencyTelecom","Efficiency of telecommunication buildings.","Effizienz von Telekommunikationsgebäuden.","Eficiencia de los edificios de telecomunicaciones.","Efficacité des bâtiments de télécommunication.","Efficienza degli edifici per le telecomunicazioni.","通信施設の効率。","통신 건물의 효율성.","Efektywność budynków telekomunikacyjnych.","Eficiência de prédios de telecomunicações.","Эффективность телекоммуникационных зданий.","电信建筑的效率。","電信建築的效率。"
,,,,,,,,,,,,
"InfomodeTooltipProcessingElectricityProduction","Electricity produced as a percent of production capacity. @@UOMPlaceholder","Produzierter Strom als Prozentsatz der Produktionskapazität. @@UOMPlaceholder","Electricidad producida como porcentaje de la capacidad de producción. @@UOMPlaceholder","Électricité produite en pourcentage de la capacité de production. @@UOMPlaceholder","Elettricità prodotta come percentuale della capacità produttiva. @@UOMPlaceholder","生産能力に対する生産電力の割合。 @@UOMPlaceholder","생산 용량 대비 생산된 전기의 비율입니다. @@UOMPlaceholder","Wyprodukowana energia elektryczna jako procent zdolności produkcyjnej. @@UOMPlaceholder","Eletricidade produzida como porcentagem da capacidade de produção. @@UOMPlaceholder","Электроэнергия, произведенная как процент от производственной мощности. @@UOMPlaceholder","生产的电力占生产能力的百分比。 @@UOMPlaceholder","發電量佔生產能力的百分比。 @@UOMPlaceholder"
"InfomodeTooltipProcessingWaterOutput","Water output as a percent of output capacity. @@UOMPlaceholder","Wasserausstoß als Prozentsatz der Ausstoßkapazität. @@UOMPlaceholder","Salida de agua como porcentaje de la capacidad de salida. @@UOMPlaceholder","Débit d'eau en pourcentage de la capacité de production. @@UOMPlaceholder","Portata d'acqua come percentuale della capacità di uscita. @@UOMPlaceholder","出力容量に対する水出力の割合。 @@UOMPlaceholder","생산량 대비 물 생산량 비율입니다. @@UOMPlaceholder","Produkcja wody jako procent zdolności produkcyjnej. @@UOMPlaceholder","Produção de água como porcentagem da capacidade de produção. @@UOMPlaceholder","Производство воды в процентах от производственной мощности. @@UOMPlaceholder","水产量占产量能力的百分比。 @@UOMPlaceholder","水產量佔產出能力的百分比。 @@UOMPlaceholder"
"InfomodeTooltipProcessingSewageTreatment","Sewage treatment as a percent of treatment capacity. @@UOMPlaceholder","Abwasserbehandlung als Prozentsatz der Behandlungskapazität. @@UOMPlaceholder","Tratamiento de aguas residuales como porcentaje de la capacidad de tratamiento. @@UOMPlaceholder","Traitement des eaux usées en pourcentage de la capacité de traitement. @@UOMPlaceholder","Trattamento delle acque reflue come percentuale della capacità di trattamento. @@UOMPlaceholder","処理能力に対する下水処理の割合。 @@UOMPlaceholder","하수 처리 용량 중 처리량이 차지하는 비율입니다. @@UOMPlaceholder","Oczyszczanie ścieków jako procent wydajności oczyszczalni. @@UOMPlaceholder","Tratamento de esgoto como porcentagem da capacidade de tratamento. @@UOMPlaceholder","Очистка сточных вод в процентах от мощности очистки. @@UOMPlaceholder","污水处理量占处理能力的百分比。 @@UOMPlaceholder","污水處理量佔處理能力的百分比。 @@UOMPlaceholder"
"InfomodeTooltipProcessingCrematoriumProcessing","Crematorium processing speed as a percent of processing capacity. @@UOMPlaceholder","Verarbeitungsgeschwindigkeit des Krematoriums als Prozentsatz der Verarbeitungskapazität. @@UOMPlaceholder","Velocidad de procesamiento del crematorio como porcentaje de la capacidad de procesamiento. @@UOMPlaceholder","Vitesse de traitement du crématorium en pourcentage de la capacité de traitement. @@UOMPlaceholder","Velocità di elaborazione del crematorio come percentuale della capacità di elaborazione. @@UOMPlaceholder","火葬場の処理速度を処理能力のパーセントで表します。 @@UOMPlaceholder","장례식장의 처리 속도는 처리 용량의 백분율로 표시됩니다. @@UOMPlaceholder","Prędkość przetwarzania w krematorium jako procent wydajności przetwarzania. @@UOMPlaceholder","Velocidade de processamento do crematório como porcentagem da capacidade de processamento. @@UOMPlaceholder","Скорость обработки крематория в процентах от мощности переработки. @@UOMPlaceholder","火葬场处理速度占处理能力的百分比。 @@UOMPlaceholder","火葬場處理速度佔處理能力的百分比。 @@UOMPlaceholder"
"InfomodeTooltipProcessingGarbageProcessing","Garbage processing speed as a percent of processing capacity. @@UOMPlaceholder","Geschwindigkeit der Müllverarbeitung als Prozentsatz der Verarbeitungskapazität. @@UOMPlaceholder","Velocidad de procesamiento de basura como porcentaje de la capacidad de procesamiento. @@UOMPlaceholder","Vitesse de traitement des déchets en pourcentage de la capacité de traitement. @@UOMPlaceholder","Tasso di elaborazione dei rifiuti come percentuale della capacità di elaborazione. @@UOMPlaceholder","処理能力に対するガベージ処理速度の割合。 @@UOMPlaceholder","처리 용량에 대한 가비지 처리 속도의 백분율입니다. @@UOMPlaceholder","Prędkość przetwarzania śmieci jako procent wydajności przetwarzania śmieci. @@UOMPlaceholder","Velocidade de processamento de lixo como uma porcentagem da capacidade de processamento. @@UOMPlaceholder","Скорость обработки мусора в процентах от производительности обработки. @@UOMPlaceholder","垃圾处理速度占处理能力的百分比。 @@UOMPlaceholder","垃圾處理速度佔處理能力的百分比。 @@UOMPlaceholder"
"InfomodeTooltipProcessingMailSortingSpeed","Mail sorting speed as a percent of sorting capacity. @@UOMPlaceholder","Geschwindigkeit der Postsortierung als Prozentsatz der Sortierkapazität. @@UOMPlaceholder","Velocidad de clasificación de correo como porcentaje de la capacidad de clasificación. @@UOMPlaceholder","Vitesse de tri du courrier en pourcentage de la capacité de tri. @@UOMPlaceholder","Velocità di smistamento della posta come percentuale della capacità di smistamento. @@UOMPlaceholder","仕分け能力に対する郵便物の仕分け速度の割合。 @@UOMPlaceholder","우편물 분류 속도를 분류 용량의 백분율로 나타낸 것입니다. @@UOMPlaceholder","Prędkość sortowania poczty jako procent przepustowości sortowania. @@UOMPlaceholder","Velocidade de classificação de correspondência como uma porcentagem da capacidade de classificação.","Скорость сортировки почты в процентах от производительности сортировки. @@UOMPlaceholder","邮件分拣速度占分拣容量的百分比。 @@UOMPlaceholder","郵件分揀速度佔分類能力的百分比。 @@UOMPlaceholder"
,,,,,,,,,,,,
,,,,,,,,,,,,
"# Settings.",,,,,,,,,,,,
"SettingTitle","@@Title","@@Title","@@Title","@@Title","@@Title","@@Title","@@Title","@@Title","@@Title","@@Title","@@Title","@@Title"
,,,,,,,,,,,,
"@@ColorChoiceThreeColors","3 Colors","3 Farben","3 colores","3 couleurs","3 colori","3 色","3가지 색상","3 kolory","3 cores","3 цвета","3 种颜色","3 種顏色"
"@@ColorDescThreeColors1","@@ColorChoiceThreeColors (default): Red, yellow, green for low, medium, high building use.","@@ColorChoiceThreeColors (Standard): Rot, Gelb, Grün für niedrige, mittlere und hohe Gebäudenutzung.","@@ColorChoiceThreeColors (predeterminado): rojo, amarillo, verde para uso en edificios bajo, medio y alto.","@@ColorChoiceThreeColors (par défaut) : rouge, jaune, vert pour une utilisation faible, moyenne ou élevée du bâtiment.","@@ColorChoiceThreeColors (predefinito): rosso, giallo, verde per uso basso, medio, alto dell'edificio.","@@ColorChoiceThreeColors (デフォルト): 赤、黄、緑 (建物の低、中、高使用)。","@@ColorChoiceThreeColors (기본값): 낮음, 중간, 높음 건물 사용을 위한 빨간색, 노란색, 초록색.","@@ColorChoiceThreeColors (domyślne): czerwony, żółty, zielony dla niskiego, średniego, wysokiego wykorzystania budynku.","@@ColorChoiceThreeColors (padrão): Vermelho, amarelo, verde para uso baixo, médio e alto em edifícios.","@@ColorChoiceThreeColors (по умолчанию): Красный, желтый, зеленый для низкого, среднего, высокого использования здания.","@@ColorChoiceThreeColors （默认）：红色、黄色、绿色，分别代表低、中、高建筑用途。","@@ColorChoiceThreeColors （預設）：紅色、黃色和綠色表示建築物的低、中、高使用率。"
"@@ColorDescThreeColors2","The colors green and red do not necessarily mean good and bad building use.","Die Farben Grün und Rot bedeuten nicht zwangsläufig eine gute bzw. schlechte Gebäudenutzung.","Los colores verde y rojo no necesariamente significan buen o mal uso del edificio.","Les couleurs verte et rouge ne signifient pas nécessairement une bonne ou une mauvaise utilisation du bâtiment.","I colori verde e rosso non indicano necessariamente un uso buono o cattivo dell'edificio.","緑と赤の色は、必ずしも建物の使用の良し悪しを意味するものではありません。","녹색과 빨간색이 반드시 건물의 사용에 좋고 나쁨을 의미하는 것은 아닙니다.","Kolory zielony i czerwony nie zawsze oznaczają dobre lub złe użytkowanie budynku.","As cores verde e vermelho não significam necessariamente bom ou ruim uso do edifício.","Зеленый и красный цвета не обязательно означают хорошее или плохое использование здания.","绿色和红色并不一定表示建筑物用途的好坏。","綠色和紅色並不一定意味著建築用途的好壞。"
"@@ColorDescThreeColors3","You must decide whether or low or high building use is good or bad.","Sie müssen entscheiden, ob eine geringe oder hohe Gebäudenutzung gut oder schlecht ist.","Debes decidir si un uso alto o bajo del edificio es bueno o malo.","Vous devez décider si une utilisation faible ou élevée du bâtiment est bonne ou mauvaise.","Bisogna decidere se un utilizzo basso o elevato di un edificio sia positivo o negativo.","建物の使用が少ないか多いかが良いのか悪いのかを判断する必要があります。","건물의 활용도가 낮거나 높은 것이 좋은지 나쁜지를 결정해야 합니다.","Musisz zdecydować, czy niskie czy wysokie wykorzystanie budynków jest dobre czy złe.","Você deve decidir se o uso baixo ou alto do edifício é bom ou ruim.","Вы должны решить, хорошо это или плохо — низкая или высокая степень использования здания.","您必须判断建筑物的使用率高或低是好还是坏。","您必須決定建築物的使用率是低還是高是好是壞。"
"@@ColorChoiceZone","Zone Color","Zonenfarbe","Color de la zona","Couleur de la zone","Colore zona","ゾーンの色","구역 색상","Kolor strefy","Cor da zona","Цвет зоны","区域颜色","區域顏色"
"@@ColorChoiceRed","Red","Rot","Rojo","Rouge","Rosso","赤","빨간색","Czerwony","Vermelho","Красный","红色","紅色的"
"@@ColorChoiceVarious","Various","Verschiedene","Variar","Varie","Vari","各種","다양함","Różne","Vários","Разный","各种","各種各樣的"
"@@BuildingUseIsColorBrightness","Building use is color brightness.","Gebäudenutzung ist Farbhelligkeit.","El uso en edificios es el brillo del color.","L'utilisation du bâtiment est la luminosité de la couleur.","L'uso dell'edificio è la luminosità del colore.","建物の使用は色の明るさです。","건물 사용은 색상 밝기입니다.","Zastosowanie budynku to jasność koloru.","O uso em edifícios é o brilho da cor.","Использование здания — это яркость цвета.","建筑用途是颜色亮度。","顏色亮度表示建築物的使用百分比。"
,,,,,,,,,,,,
"SettingGroupGeneral","General","Allgemein","General","Général","Generale","一般的な","일반","Ogólny","Geral","Общий","一般的","一般的"
"SettingZonedBuildingColorLabel","Color of Zoned Buildings","Farbe der in Zonen eingeteilten Gebäude","Color de los edificios zonificados","Couleur des bâtiments zonés","Colore degli edifici suddivisi in zone","ゾーン分けされた建物の色","구역이 지정된 건물의 색상","Kolor budynków strefowych","Cor dos Edifícios Zoneados","Цвет зонированных зданий","分区建筑颜色","分區建築物的顏色"
"SettingZonedBuildingColorDesc","@@ColorDescThreeColors1 @@ColorDescThreeColors2 @@ColorDescThreeColors3","@@ColorDescThreeColors1 @@ColorDescThreeColors2 @@ColorDescThreeColors3","@@ColorDescThreeColors1 @@ColorDescThreeColors2 @@ColorDescThreeColors3","@@ColorDescThreeColors1 @@ColorDescThreeColors2 @@ColorDescThreeColors3","@@ColorDescThreeColors1 @@ColorDescThreeColors2 @@ColorDescThreeColors3","@@ColorDescThreeColors1 @@ColorDescThreeColors2 @@ColorDescThreeColors3","@@ColorDescThreeColors1 @@ColorDescThreeColors2 @@ColorDescThreeColors3","@@ColorDescThreeColors1 @@ColorDescThreeColors2 @@ColorDescThreeColors3","@@ColorDescThreeColors1 @@ColorDescThreeColors2 @@ColorDescThreeColors3","@@ColorDescThreeColors1 @@ColorDescThreeColors2 @@ColorDescThreeColors3","@@ColorDescThreeColors1 @@ColorDescThreeColors2 @@ColorDescThreeColors3","@@ColorDescThreeColors1 @@ColorDescThreeColors2 @@ColorDescThreeColors3"
"SettingZonedBuildingColorDesc","@@ColorChoiceZone: Colors correspond to the zone type. @@BuildingUseIsColorBrightness","@@ColorChoiceZone: Die Farben entsprechen dem Zonentyp. @@BuildingUseIsColorBrightness","@@ColorChoiceZone: Los colores corresponden al tipo de zona. @@BuildingUseIsColorBrightness","@@ColorChoiceZone: Les couleurs correspondent au type de zone. @@BuildingUseIsColorBrightness","@@ColorChoiceZone: I colori corrispondono al tipo di zona. @@BuildingUseIsColorBrightness","@@ColorChoiceZone: 色はゾーンの種類に対応します。 @@BuildingUseIsColorBrightness","@@ColorChoiceZone: 색상은 구역 유형에 따라 달라집니다. @@BuildingUseIsColorBrightness","@@ColorChoiceZone: Kolory odpowiadają typowi strefy. @@BuildingUseIsColorBrightness","@@ColorChoiceZone: As cores correspondem ao tipo de zona. @@BuildingUseIsColorBrightness","@@ColorChoiceZone: Цвета соответствуют типу зоны. @@BuildingUseIsColorBrightness","@@ColorChoiceZone: 颜色与区域类型相对应。 @@BuildingUseIsColorBrightness","@@ColorChoiceZone: 顏色對應於區域類型。 @@BuildingUseIsColorBrightness"
"SettingZonedBuildingColorChoiceThreeColors","@@ColorChoiceThreeColors","@@ColorChoiceThreeColors","@@ColorChoiceThreeColors","@@ColorChoiceThreeColors","@@ColorChoiceThreeColors","@@ColorChoiceThreeColors","@@ColorChoiceThreeColors","@@ColorChoiceThreeColors","@@ColorChoiceThreeColors","@@ColorChoiceThreeColors","@@ColorChoiceThreeColors","@@ColorChoiceThreeColors"
"SettingZonedBuildingColorChoiceZoneColor","@@ColorChoiceZone","@@ColorChoiceZone","@@ColorChoiceZone","@@ColorChoiceZone","@@ColorChoiceZone","@@ColorChoiceZone","@@ColorChoiceZone","@@ColorChoiceZone","@@ColorChoiceZone","@@ColorChoiceZone","@@ColorChoiceZone","@@ColorChoiceZone"
"SettingServiceBuildingColorLabel","Color of Service Buildings","Farbe der Servicegebäude","Color de los edificios de servicios","Couleur des bâtiments de service","Colore degli edifici di servizio","サービス建物の色","서비스 건물의 색상","Kolor budynków usługowych","Cor dos Edifícios de Serviço","Цвет служебных зданий","服务建筑颜色","服務大樓顏色"
"SettingServiceBuildingColorDesc","@@ColorDescThreeColors1 @@ColorDescThreeColors2 @@ColorDescThreeColors3","@@ColorDescThreeColors1 @@ColorDescThreeColors2 @@ColorDescThreeColors3","@@ColorDescThreeColors1 @@ColorDescThreeColors2 @@ColorDescThreeColors3","@@ColorDescThreeColors1 @@ColorDescThreeColors2 @@ColorDescThreeColors3","@@ColorDescThreeColors1 @@ColorDescThreeColors2 @@ColorDescThreeColors3","@@ColorDescThreeColors1 @@ColorDescThreeColors2 @@ColorDescThreeColors3","@@ColorDescThreeColors1 @@ColorDescThreeColors2 @@ColorDescThreeColors3","@@ColorDescThreeColors1 @@ColorDescThreeColors2 @@ColorDescThreeColors3","@@ColorDescThreeColors1 @@ColorDescThreeColors2 @@ColorDescThreeColors3","@@ColorDescThreeColors1 @@ColorDescThreeColors2 @@ColorDescThreeColors3","@@ColorDescThreeColors1 @@ColorDescThreeColors2 @@ColorDescThreeColors3","@@ColorDescThreeColors1 @@ColorDescThreeColors2 @@ColorDescThreeColors3"
"SettingServiceBuildingColorDesc","@@ColorChoiceRed: All service buildings are red. @@BuildingUseIsColorBrightness","@@ColorChoiceRed: Alle Servicegebäude sind rot. @@BuildingUseIsColorBrightness","@@ColorChoiceRed: Todos los edificios de servicios son de color rojo. @@BuildingUseIsColorBrightness","@@ColorChoiceRed: Tous les bâtiments de service sont rouges. @@BuildingUseIsColorBrightness","@@ColorChoiceRed: Tutti gli edifici di servizio sono rossi. @@BuildingUseIsColorBrightness","@@ColorChoiceRed: すべてのサービス ビルは赤色です。 @@BuildingUseIsColorBrightness","@@ColorChoiceRed: 모든 서비스 건물은 빨간색입니다. @@BuildingUseIsColorBrightness","@@ColorChoiceRed: Wszystkie budynki usługowe są czerwone. @@BuildingUseIsColorBrightness","@@ColorChoiceRed: Todos os prédios de serviço são vermelhos. @@BuildingUseIsColorBrightness","@@ColorChoiceRed: Все служебные здания красные. @@BuildingUseIsColorBrightness","@@ColorChoiceRed: 所有服务建筑均为红色。 @@BuildingUseIsColorBrightness","@@ColorChoiceRed: 所有服務大樓都是紅色的。 @@BuildingUseIsColorBrightness"
"SettingServiceBuildingColorDesc","@@ColorChoiceVarious: Different colors for different service building types. @@BuildingUseIsColorBrightness","@@ColorChoiceVarious: Unterschiedliche Farben für unterschiedliche Servicegebäudetypen. @@BuildingUseIsColorBrightness","@@ColorChoiceVarious: Los distintos tipos de edificios de servicios tienen distintos colores. @@BuildingUseIsColorBrightness","@@ColorChoiceVarious: Différentes couleurs pour différents types de bâtiments de service. @@BuildingUseIsColorBrightness","@@ColorChoiceVarious: Colori diversi per diversi tipi di edifici di servizio. @@BuildingUseIsColorBrightness","@@ColorChoiceVarious: サービス ビルの種類によって色が異なります。 @@BuildingUseIsColorBrightness","@@ColorChoiceVarious: 서비스 건물 유형에 따라 다른 색상이 있습니다. @@BuildingUseIsColorBrightness","@@ColorChoiceVarious: Różne kolory dla różnych typów budynków usługowych. @@BuildingUseIsColorBrightness","@@ColorChoiceVarious: Cores diferentes para diferentes tipos de prédios de serviço. @@BuildingUseIsColorBrightness","@@ColorChoiceVarious: Разные цвета для разных типов служебных зданий. @@BuildingUseIsColorBrightness","@@ColorChoiceVarious: 不同类型的服务建筑采用不同的颜色。 @@BuildingUseIsColorBrightness","@@ColorChoiceVarious: 不同的服務建築類型有不同的顏色。 @@BuildingUseIsColorBrightness"
"SettingServiceBuildingColorChoiceThreeColors","@@ColorChoiceThreeColors","@@ColorChoiceThreeColors","@@ColorChoiceThreeColors","@@ColorChoiceThreeColors","@@ColorChoiceThreeColors","@@ColorChoiceThreeColors","@@ColorChoiceThreeColors","@@ColorChoiceThreeColors","@@ColorChoiceThreeColors","@@ColorChoiceThreeColors","@@ColorChoiceThreeColors","@@ColorChoiceThreeColors"
"SettingServiceBuildingColorChoiceRed","@@ColorChoiceRed","@@ColorChoiceRed","@@ColorChoiceRed","@@ColorChoiceRed","@@ColorChoiceRed","@@ColorChoiceRed","@@ColorChoiceRed","@@ColorChoiceRed","@@ColorChoiceRed","@@ColorChoiceRed","@@ColorChoiceRed","@@ColorChoiceRed"
"SettingServiceBuildingColorChoiceVarious","@@ColorChoiceVarious","@@ColorChoiceVarious","@@ColorChoiceVarious","@@ColorChoiceVarious","@@ColorChoiceVarious","@@ColorChoiceVarious","@@ColorChoiceVarious","@@ColorChoiceVarious","@@ColorChoiceVarious","@@ColorChoiceVarious","@@ColorChoiceVarious","@@ColorChoiceVarious"
"SettingColorSpecializedIndustryLotsLabel","Specialized Industry Lots","Spezialisierte Industrielose","Lotes de Industrias Especializadas","Lots industriels spécialisés","Lotti industriali specializzati","特殊産業用地","특수 산업 로트","Specjalistyczne działki przemysłowe","Lotes industriais especializados","Специализированные промышленные лоты","特殊行业地块","特殊行業地塊"
"SettingColorSpecializedIndustryLotsDesc","When checked, the color of the attached lot for each specialized industry is set the same as its hub building.","Wenn diese Option aktiviert ist, hat das zugehörige Grundstück für jede spezialisierte Industrie die gleiche Farbe wie das zugehörige Hauptgebäude.","Cuando se marca, el lote adjunto a cada industria especializada tiene el mismo color que su edificio central.","Une fois coché, le lot rattaché à chaque industrie spécialisée est coloré de la même couleur que son bâtiment central.","Se selezionata, il lotto allegato a ogni settore specializzato avrà lo stesso colore dell'edificio centrale.","チェックを入れると、各専門産業の付属区画が拠点ビルと同じ色になります。","체크 시, 각 전문산업에 첨부된 토지는 허브 건물과 동일한 색상으로 표시됩니다.","Po zaznaczeniu tej opcji, działka przypisana do konkretnej wyspecjalizowanej branży ma ten sam kolor co budynek będący jej centrum.","Quando marcado, o lote anexado para cada indústria especializada é colorido da mesma forma que seu edifício central.","При выборе этого параметра прикрепленный участок для каждой специализированной отрасли окрашивается в тот же цвет, что и ее центральное здание.","选中后，每个专业行业的附属地段的颜色与其枢纽建筑相同。","選擇此選項後，每個專業行業的輔助地塊的顏色與其中心建築相同。"
"SettingColorSpecializedIndustryLotsDesc","When unchecked (default), only the hub building color is set.","Wenn nicht aktiviert (Standard), wird nur das Hub-Gebäude eingefärbt.","Cuando no está marcada (predeterminado), solo se colorea el edificio central.","Lorsque cette option n'est pas cochée (par défaut), seul le bâtiment central est coloré.","Se non è selezionata (impostazione predefinita), solo l'edificio hub viene colorato.","チェックを外すと（デフォルト）、ハブの建物のみが色付けされます。","체크하지 않은 경우(기본 설정), 허브 건물만 색상이 지정됩니다.","Gdy odznaczone (domyślnie), kolorowy jest tylko budynek centralny.","Quando desmarcado (padrão), apenas o edifício central é colorido.","Если флажок не установлен (по умолчанию), то окрашивается только здание хаба.","未选中时（默认），只有枢纽建筑物有颜色。","未選取（預設）時，只有中心建築是彩色的。"
,,,,,,,,,,,,
"SettingGroupAbout","About","Über","Acerca de","À propos","Informazioni","について","정보","Informacje","Sobre","Об","关于","關於"
"SettingModVersionLabel","Version","Version","Versión","Version","Versione","バージョン情報","버전","Wersja","Versão","Версия","版本","版本"
"SettingModVersionDesc","Current version.","Aktuelle Version.","Versión actual.","Version actuelle.","Versione attuale.","現在のバージョン。","현재 버전.","Obecna wersja.","Versão Atual.","Текущая версия.","当前版本。","目前版本。"
,,,,,,,,,,,,
,,,,,,,,,,,,
"# Infomode general text.",,,,,,,,,,,,
"SelectAll","Select All","Alles auswählen","Seleccionar todo","Sélectionner tout","Seleziona tutto","すべて選択","모두 선택","Zaznacz wszystko","Selecionar tudo","Выбрать все","全选","選擇全部"
"DeselectAll","Deselect All","Alle abwählen","Deseleccionar todo","Désélectionner tout","Deseleziona tutto","すべて選択解除","모두 선택 해제","Odznacz wszystko","Desmarcar tudo","Отменить выбор всех","取消全选","取消全選"
"SelectDeselectTooltip","Select or deselect all building types.","Wählen Sie alle Gebäudetypen aus oder heben Sie die Auswahl auf.","Seleccione o deseleccione todos los tipos de edificios.","Sélectionnez ou désélectionnez tous les types de bâtiments.","Seleziona o deseleziona tutti i tipi di edifici.","すべての建物タイプを選択または選択解除します。","모든 건물 유형을 선택하거나 선택 해제합니다.","Zaznacz lub odznacz wszystkie typy budynków.","Selecione ou desmarque todos os tipos de construção.","Выберите или отмените выбор всех типов зданий.","选择或取消选择所有建筑类型。","選擇或取消選擇所有建築類型。"
"InUse","In Use","Im Einsatz","En uso","En cours d'utilisation","In uso","使用中","사용 중","W użyciu","Em uso","В использовании","使用中","使用中"
"InMaintenance","In Maintenance","In Wartung","En mantenimiento","En maintenance","In manutenzione","メンテナンス中","유지 관리 중","W konserwacji","Em manutenção","В обслуживании","维护中","維護中"
"InUseInMaintenanceTooltip","Count vehicles in use, in maintenance, or both.","Zählen Sie Fahrzeuge im Einsatz, in Wartung oder beidem.","Cuente los vehículos en uso, en mantenimiento o ambos.","Comptez les véhicules en cours d'utilisation, en maintenance ou les deux.","Conta i veicoli in uso, in manutenzione o entrambi.","使用中、メンテナンス中、またはその両方の車両をカウントします。","사용 중, 유지 관리 중 또는 둘 다인 차량을 계산합니다.","Zlicz pojazdy w użyciu, w konserwacji lub w obu.","Conte veículos em uso, em manutenção ou ambos.","Укажите количество транспортных средств, которые используются, находятся в обслуживании или и то, и другое.","统计使用中、维护中或两者的车辆。","計算正在使用、正在維護或兩者兼而有之的車輛。"
"MaxColor100Percent","Max Color 100%","Max. Farbe 100 %","Color máximo 100 %","Couleur max 100 %","Colore massimo 100%","最大色 100%","최대 색상 100%","Maksymalny kolor 100%","Cor máxima 100%","Макс. цвет 100%","最大颜色 100%","最大顏色 100%"
"MaxColor200Percent","Max Color 200%","Max. Farbe 200 %","Color máximo 200 %","Couleur max 200 %","Colore massimo 200%","最大色 200%","최대 색상 200%","Maksymalny kolor 200%","Cor máxima 200%","Макс. цвет 200%","最大颜色 200%","最大顏色 200%"
"MaxColorTooltip","Choose the maximum range for building colors.","Wählen Sie den maximalen Bereich für Gebäudefarben.","Elija el rango máximo de colores para la construcción.","Choisissez la gamme maximale de couleurs pour le bâtiment.","Scegli la gamma massima per i colori degli edifici.","建物の色の最大範囲を選択します。","건물 색상의 최대 범위를 선택합니다.","Wybierz maksymalny zakres kolorów budynku.","Escolha o intervalo máximo para cores de edifícios.","Выберите максимальный диапазон для цветов здания.","选择建筑颜色的最大范围。","選擇建築顏色的最大範圍。"
"NoBuildings","No Buildings","Keine Gebäude","Sin edificios","Aucun bâtiment","Nessun edificio","建物なし","건물 없음","Brak budynków","Nenhum edifício","Нет зданий","无建筑物","沒有建築物"
"UnitOfMeasurePrefixKilo","k","k",,"k","k","k","k","k","k","к ","千","千"
"UnitOfMeasurePrefixMega","M","M","M","M","M","M","M","M","M","М ","兆 ","兆 "
"GigaWattHour","GWh","GWh","GWh","GWh","GWh","GWh","GWh","GWh","GWh","ГВтч","吉瓦时","吉瓦時"
